28 processes 1 nodes 6 tasks per node

**********************************

Initialisation Time 		 = 	 0.00019443407654762268(s)
Simulation Time 		 = 	 0.011947833001613617(s)
Number of bodies 		 = 	 100
Number of nodes used 		 = 	 28
Communication time 		 = 	 0.00958395004272461
Computation time 		 = 	 0.001405954360961914

**********************************


**********************************

Initialisation Time 		 = 	 0.0001884959638118744(s)
Simulation Time 		 = 	 0.024002213031053543(s)
Number of bodies 		 = 	 100
Number of nodes used 		 = 	 28
Communication time 		 = 	 0.021775007247924805
Computation time 		 = 	 0.001322031021118164

**********************************


**********************************

Initialisation Time 		 = 	 0.0001751147210597992(s)
Simulation Time 		 = 	 0.011226985603570938(s)
Number of bodies 		 = 	 100
Number of nodes used 		 = 	 28
Communication time 		 = 	 0.009073019027709961
Computation time 		 = 	 0.0013768672943115234

**********************************


**********************************

Initialisation Time 		 = 	 0.00043040141463279724(s)
Simulation Time 		 = 	 0.12540799006819725(s)
Number of bodies 		 = 	 1000
Number of nodes used 		 = 	 28
Communication time 		 = 	 0.01809096336364746
Computation time 		 = 	 0.1058199405670166

**********************************


**********************************

Initialisation Time 		 = 	 0.0004490390419960022(s)
Simulation Time 		 = 	 0.13029947504401207(s)
Number of bodies 		 = 	 1000
Number of nodes used 		 = 	 28
Communication time 		 = 	 0.02191615104675293
Computation time 		 = 	 0.10746598243713379

**********************************


**********************************

Initialisation Time 		 = 	 0.00046026334166526794(s)
Simulation Time 		 = 	 0.12561996653676033(s)
Number of bodies 		 = 	 1000
Number of nodes used 		 = 	 28
Communication time 		 = 	 0.02008819580078125
Computation time 		 = 	 0.10458683967590332

**********************************


**********************************

Initialisation Time 		 = 	 0.0032132603228092194(s)
Simulation Time 		 = 	 11.05159429833293(s)
Number of bodies 		 = 	 10000
Number of nodes used 		 = 	 28
Communication time 		 = 	 0.9116048812866211
Computation time 		 = 	 10.139032125473022

**********************************


**********************************

Initialisation Time 		 = 	 0.003229565918445587(s)
Simulation Time 		 = 	 11.932347539812326(s)
Number of bodies 		 = 	 10000
Number of nodes used 		 = 	 28
Communication time 		 = 	 1.593257188796997
Computation time 		 = 	 10.337684869766235

**********************************


**********************************

Initialisation Time 		 = 	 0.0032905228435993195(s)
Simulation Time 		 = 	 11.844580296427011(s)
Number of bodies 		 = 	 10000
Number of nodes used 		 = 	 28
Communication time 		 = 	 1.606900930404663
Computation time 		 = 	 10.236700057983398

**********************************

