2 processes 1 nodes 1 tasks per node

**********************************

Initialisation Time 		 = 	 0.00287439301609993(s)
Simulation Time 		 = 	 142.66850607469678(s)
Number of bodies 		 = 	 10000
Number of nodes used 		 = 	 2
Communication time 		 = 	 1.4507627487182617
Computation time 		 = 	 141.21730208396912

**********************************


**********************************

Initialisation Time 		 = 	 0.0030197873711586(s)
Simulation Time 		 = 	 147.4916446879506(s)
Number of bodies 		 = 	 10000
Number of nodes used 		 = 	 2
Communication time 		 = 	 0.06107807159423828
Computation time 		 = 	 147.43013095855713

**********************************


**********************************

Initialisation Time 		 = 	 0.003036443144083023(s)
Simulation Time 		 = 	 155.7872429639101(s)
Number of bodies 		 = 	 10000
Number of nodes used 		 = 	 2
Communication time 		 = 	 14.812707901000977
Computation time 		 = 	 140.97406601905823

**********************************

